text,label
gastos vp binay political ads halos p number,2
inaasahan vice president jejomar binay taong ... url,0
mar roxas tang ina tuwid daan daw ... eh sya nga di straight,1
salamat sawang suporta taga makati pagbabalik binay makati binay makati san url,0
username putangina mo binay takbo,1
binay selective amnesia forgetting past six years spent preparing president pili pinas debates number,0
matter whoever duterte miriam president long finally changed country noynoy failed,0
nognog nognog nag malasakit wtf tangina mo binay nagpapaawa kapa haha nognog,1
binay oily binay,2
binay rin,2
binay number,2
b number nay fb url,1
abi binay said running makati mayor halalan number url url,0
srsly binay away tax earning ph p number k without compromises nkklk talaga,1
sen grace poe puro puso lugmok bansa natin kahirapan corruption puro puso utak,1
rt username laki ginastos binay tapos laki talo mayo tameme ending kwento yun https …,1
endo kay p noy extension mar roxas duterte till end,1
username pet theory contrasted w p noy past number years binay failed much done much either,0
rt username ba si binay yuan nognog pandak laki hirap,0
breaking vcm inside novotel cubao owned mar roxas url,0
di daw pagsisihan binoto si mds talo baka dun kayo magsisi si roxas binay poe mananalo kayo matatalino :d,0
rt username anak mar pala itong si djp surprised nese iye ne eng lehet mar roxas campaign jingle n …,0
kakapal mukha niyo p noy roxas matapos niyong batikusin si poe binay naman yayain niyo anu toh civil war,1
importante kay vp binay,2
binay mag aangat tacloban,0
eh di wow talagang gamit gamit yung pandak sus lang binay wag kame url,1
parang gustong maka tandem mar roxas liberal party alam mahihirapang manalo si roxas,1
si senator nancy binay ba tinutukoy mo haha url,0
naman si mar roxas parang p makikipag sanib lang kay poe talunin si duterte duterte till end,1
alma moreno ok despite bashed tv interview binay halalan number url url via abs cbn n …,0
definitely vote binay big,0
si mar roxas yung parang cartoon anime nagpapalit damit,0
political ad respect response duterte ’ rape remark poe clarifies url,0
rt username mar roxas naguilian isabela today attend sectoral assembly url,0
sooo mar roxas,0
nakakairita tong commercial binay,1
newsreport pagsuporta gobernador ifugao kay vp binay pinasalamatan via allan francisco,0
haha binay jollibee url,0
v pcandidate sen trillanes campaign presidential candidate sen grace poe vp bid also said binay url,0
binay commercial tho,0
mar offered unity talks w grace poe invitation declined bayan sana roxas number roxas robredo switchto mar,0
nagrereklamo yung kasabay jeep duterte daw binoto roxas lumabas,0
drama hugot trabaho lang higit pagnanakawan username roxas robredo number url,0
rt username galing showtime yang cake galing kay binay hahah,2
showtime miho,0
mr palengke looses presidential bid di c binay di c duterte lolong di c poe sisihin kundi aldubnations vote maine fpp kca,0
binay completes senate slate halalan number url url,0
lol binay,1
mar roxas handang humarap panibagong imbestigasyon mamasapano clash url,1
mar roxas debates daw ... url,0
sana kasi president duterte vice president santiago,0
lonely binay,0
binay kang talaga nognog pandak laki hirap,1
mar roxas son paolo stumping dad digos city davao del sur username url,0
handa po wheel chair pnoy trillianes mar roxas,0
rt username username wow binay bayan haha,0
talagang mas pinili si roxas binay mds wtf election number,1
username username oy nandito si binay,0
lot say controversial paid ads released last night thought helps make mar roxas name trend,0
know binay enormous wealth come salary years gov official url,0
mar leni mar leni mar leni mar leni mar leni think positive tandem win roxas robredo,0
look binay sign ala hollywood rises banaue rice terraces url halalan number url via abs cbn…,0
rt iamkarendavila mar roxas calling grace poe talk unity mag usap ancalerts,0
lt yung tvc binay haha,1
pati ba naman picos machine binayaran mar roxas,1
rt username staff sen miriam defensor santiago sponsors senate resolution number edca,0
rt username respect djp decision mar roxas tanungin lang natin kng san galing yng binayad pamintang username yoland …,0
lp binay get p number spent tv ads url philippine news url via username,0
pinaka kwenta debate si binay nakakaloka ... puro nanaman makati pilipinasdebate number,1
username username username basahin padin panu retweet nanaman yung kay binay adn maine vote maine fpp kca,0
endorsing mar roxas naman kau pinipilit iboto respect djp decision mar roxas,0
roxas number roxas robredo switchto mar url,0
madami naman natulungan si binay kesa kay dut number rt number,0
username gago haha anti binay girl,0
untv repaso number ca dismisses junjun binay ’ petition ombudsman suspension order 2_number 11_number 2015_number ny a1710,0
motherly naman tong si poe yung masungit mahigpit nanay kelangan pilipinas disiplina pili pinas debates number,1
yown number st time nag vote tama eleksyon number gracepoe number gracepoeforpresident url,0
nalito yung pari san pwede paitimin si binay nagtagal tuloy misa cause delay vp hala url,1
username duterte roxas poe binay santiago rank,0
nung si binay ginisa uplb tuwang tuwa kayo nung kandidato niyo bastos estudyante uplb,1
username salamat camp fought good fight guys vp binay rin tlga,0
binay lumaki man taung mahirap c vp binay lumaki mahirap,0
rt username goodness jejomar binay super annoying mo pls stop like really oo laki hirap punyeta,1
laglagbala,2
blogger seems yellow koolaid iv line,2
kanina baka si binay si pamatong basis nada,2
k,0
bets ready wrong bash alma moreno interview —vp binay url url,0
really irritated binay answer make sense,1
say goodbye presidential ambitions mar mar roxas trains even support contrived image url,1
beta newsroom number epal moves binay roxas robredo binisita binagyo videos visit us ... url,0
nalss campaign song binay wth anong mali sakin :(,1
tapos nagtataka andaming naloloko marcos binay eh ganun naman lang pinapansin,1
pacquiao moreno binay senatorial line face palm,1
kay binay ... masyadong kita kilay sobrang itim kulay,1
watch daniel padilla interviews mar roxas gets mixed reviews url,0
fuck noynoy fuck mar roxas wala moy pulos yawa mo,1
number ateneo,2
number mac belo,2
number sarah geronimo minamahal,2
number gimme number rocks sm manila,2
number binay,2
number 22_number time pht url,0
sure binay giving number behind duterte less number votes yet counted halalan number,0
tangina naman yung ad binay nakabwisit,1
binay ’ big promise income tax workers earning p number k monthly vice president jejomar binay vo ... url,0
username username ganyan tlga basta puro bahid ehh grace poe tone ha,1
number otwol disappointment,2
number roxas robredo,2
number power vote meng,2
number mar nella ror omance,2
number ylon birth month day nine,2
number 9_number time pht,0
masasabi mo performance binay recent presidential debate url,0
tangina enrile di naman masyadong halatang solid binay supporter mamasapano senate hearing,1
username errata binay rin pinakamataas distrust disapproval ratings,1
introduction mo mar roxas panay paninira lang mo kandidato pili pinas debates number team replay,1
vote roxas halalan number mar daang matuwid roro rising things possible believe,0
nakakairita commercial binay,1
plastic mapapel tangina mo mar roxas url,1
@ancalerts sen binay nothing poe residency issue wag mo gawing tanga wag kang magmalinis bobo,1
si binay yung kaklase mong nag top number nung kinder college niyayabang lels,1
duterte till end dont cheat yellows pilipinas number ph vote number ph vote duterte ph vote roxas url,1
rt username feel glutha binay pagiging presidente putek paulit ulit puro nog nog naririnig mg …,1
vp binay tikom bibig pahayag sen jv ejercito si sen grace poe susuportahan ama si erap via allan francisco,0
rt tv patrol kilalanin vice president jejomar binay url halalan number url,0
si binay sya nagchachat sinasabing kuya ate palike naman po di kupal si binay tularan si binay,0
nognog,2
pandak,2
laki hirap,2
di,2
maraming nagawa,2
yan si binay,2
tae tae tae talaga nice ad haha,1
username yun nga eh sakit si miriam hirap hati boto baka manalo tuloy si binay,0
fear population philippines stupid enough vote binay please let happen,1
binay binay ba binay,0
lead uprising binay wins — trillanes url,0
paghilom mar roxas bi pakyu,1
tignan mo si binay akong kwento nanaman iniimbento mudang,0
binay manage afford even accounts frozen owe url,0
number elections race mayor rodrigo duterte former dilg secretary mar roxas would ... url,0
bagay bagay kayo promise kayong anak binay,0
ilang kilometro nalakad binay debate good tv number karen disappointment pili pinas debates number,1
take shot,2
binay mentions makati,2
duterte mentions davao,2
poe mentions fpj,2
roxas mentions daang matuwid,0
username kayo nalang binay forever kayo eh xd azar,0
mabuhay binay aba haha hayop,1
username reason mar roxas increase numbers dumb stupid lacks sincerity factors hid,1
binay roxas kayo mananalo shut nalang kayo,1
binay ph business expo hope invite next year president philippines p hvote,0
binay poe roxas santiago miriam number,0
boboto kay binay tanga taxi driver hard haha :),1
propaganda act define mayor duterte defined politicians country dirty acts gain power,2
duterte till end,0
rt username nakaka gago tong ads binay buseeetttt,2
asap pop kilig,1
username cortuption poverty isis isip naman binay username,1
oh ayan bobo bayan binay mar poe salita url,1
layo sagot binay pota,1
say plunderers big binay url,1
