text,label
escudero denies betraying poe meeting binay https :/ co sklxtihhja kare kare sinampalukan topic balimbing,0
hndi yung one chance saka kay binay fb haist,1
mar roxas addressing crowd gathered pasay city ulat barangay NUMBER URL,0
USERNAME perfect makaharap duterte binay makatikim mura,0
binay priority NUMBER ps wag nating hayaan maloko pulitikong yan kay binay,0
regards advertistment binay haha,0
binay,0
USERNAME si binay lang sapat bh NUMBER,0
dear ABS CBN MTRCB trillanes mar roxas URL,0
USERNAME asuuus kilala si binay lang pala birahin ba,0
latest USERNAME survey pulse asia duterte NUMBER pt poe roxas tied NUMBER nd halalan NUMBER URL,0
see poe binay work steadily soundbites like mar duterte SEE numbers reflect strategy,1
sen USERNAME binay lied TV ad senate probe URL P hvote URL,1
idk think grace poe leni robredo could good tandem,0
mas kapani paniwala partial results si poe pumapangalawa halalan NUMBER,0
RT USERNAME pang tutulong nognog eh di nognog luh binay lang nognog wag kang nandadamay URL,1
USERNAME USERNAME atleast kame binabaha lang kame muka BAHA ha kamuka nyo si binay POGI MAYOR NAMEN BOY SHATTAP HAHAHA,1
USERNAME okcge si binay lng ahahahahhahaha ... evolution binay hahahahha nyeta sakit tyan,2
ALDUB NUMBER th weeksary,1
bweset si BINAY ...,2
nawala yung ads dance kidz ...,2
PBB big night,1
go SC,2
SC scolds binay lawyers ‘ wrong doctrine ’ URL via USERNAME,0
tigas mukha binay kulay nyu bae alden malayo wag kang feeling,1
USERNAME NUMBER rd place lang air binay celebrate,0
VIRAL reason binay poe roxas deserve filipinos vote MUST READ URL,1
USERNAME would people think trillanes allegations roxas binay joined forces,0
USERNAME binay maawa bansa,1
mahihirapan pilipino iboboto nina miriam tsaka duterte tsk duterte NUMBER halalan NUMBER,0
USERNAME haist manira lng kyo manira di nyo kya si VP binay supporters nya binay UN asa ilocos,1
buti nlng mataas ego roxas ndi nag giveway kay poe,2
duterte frontrunner,2
LET PEOPLE DECIDE,2
luneta duterte cayetano,1
well least babalik si binay makati kasi dun lang nmn binibigyan halaga ngoffer inyo ... URL,0
VP binay meanwhile slipped third NUMBER mar roxas still fourth NUMBER,0
plastik si mar roxas,1
sen poe binara abaya resign calls binara malaca ñang pahayag senator grace poe nang ... URL,0
mar roxas thirsty votes,1
