text,label
GASTOS VP BINAY POLITICAL ADS HALOS P NUMBER,2
inaasahan vice president jejomar binay taong ... URL,0
mar roxas TANG INA TUWID DAAN DAW ... EH SYA NGA DI STRAIGHT,1
salamat sawang suporta taga makati pagbabalik binay makati binay makati san URL,0
USERNAME putangina mo binay TAKBO,1
binay selective amnesia forgetting past six years spent preparing president pili pinas debates NUMBER,0
matter whoever duterte miriam president long finally changed country noynoy failed,0
nognog nognog nag malasakit wtf tangina mo binay nagpapaawa kapa hahahaha nognog,1
binay oily binay,2
binay rin,2
binay NUMBER,2
B NUMBER nay FB URL,1
abi binay said running makati mayor halalan NUMBER URL URL,0
srsly binay away tax earning ph P NUMBER k without compromises nkklk talaga,1
sen grace poe puro puso lugmok bansa natin kahirapan corruption puro puso utak,1
RT USERNAME laki ginastos binay tapos laki talo mayo tameme ending kwento yun https …,1
ENDO kay P noy extension mar roxas duterte till end,1
USERNAME pet theory contrasted w P noy past NUMBER years binay failed much done much either,0
RT USERNAME ba si binay yuan nognog pandak laki hirap,0
BREAKING VCM inside novotel cubao owned mar roxas URL,0
di daw pagsisihan binoto si MDS talo baka dun kayo magsisi si roxas binay poe mananalo kayo matatalino :D,0
RT USERNAME anak mar pala itong si DJP surprised nese iye ne eng lehet mar roxas campaign jingle N …,0
kakapal mukha niyo P noy roxas matapos niyong batikusin si poe binay naman yayain niyo anu toh civil war,1
importante kay VP binay,2
binay mag aangat tacloban,0
eh di wow talagang gamit gamit yung PANDAK SUS LANG BINAY WAG KAME URL,1
parang gustong maka tandem mar roxas liberal party alam mahihirapang manalo si roxas,1
si senator nancy binay ba tinutukoy mo hahahaha URL,0
NAMAN SI MAR ROXAS PARANG P MAKIKIPAG SANIB LANG KAY POE TALUNIN SI DUTERTE duterte till end,1
alma moreno OK despite bashed TV interview binay halalan NUMBER URL URL via ABS CBN N …,0
definitely vote binay big,0
si mar roxas yung parang cartoon anime nagpapalit damit,0
political ad respect response duterte ’ rape remark poe clarifies URL,0
RT USERNAME mar roxas naguilian isabela today attend sectoral assembly URL,0
sooo mar roxas,0
nakakairita tong commercial binay,1
newsreport pagsuporta gobernador ifugao kay VP binay pinasalamatan via allan francisco,0
haha binay jollibee URL,0
V pcandidate sen trillanes campaign presidential candidate sen grace poe VP bid also said binay URL,0
binay commercial tho,0
mar offered unity talks w grace poe invitation declined bayan sana roxas NUMBER roxas robredo switchto mar,0
nagrereklamo yung kasabay jeep duterte daw binoto roxas lumabas,0
drama hugot trabaho lang higit pagnanakawan USERNAME roxas robredo NUMBER URL,0
RT USERNAME galing showtime yang cake galing kay binay hahah,2
showtime miho,0
mr palengke looses presidential bid di c binay di c duterte lolong di c poe sisihin kundi ALDUBNATIONS vote maine FPP KCA,0
binay completes senate slate halalan NUMBER URL URL,0
lol binay,1
mar roxas handang humarap panibagong imbestigasyon mamasapano clash URL,1
mar roxas debates daw ... URL,0
sana kasi president duterte vice president santiago,0
lonely binay,0
BINAY KANG TALAGA nognog pandak laki hirap,1
mar roxas son paolo stumping dad digos city davao del sur USERNAME URL,0
handa po wheel chair PNOY trillianes mar roxas,0
RT USERNAME USERNAME wow binay bayan haha,0
talagang mas pinili si ROXAS BINAY MDS WTF election NUMBER,1
USERNAME USERNAME oy nandito si binay,0
lot say controversial paid ads released last night thought helps make mar roxas name trend,0
know binay enormous wealth come salary years gov official URL,0
mar leni mar leni mar leni mar leni mar leni think positive tandem win roxas robredo,0
LOOK binay sign ala hollywood rises banaue rice terraces URL halalan NUMBER URL via ABS CBN…,0
RT iamkarendavila mar roxas calling grace poe talk unity mag usap ANCALERTS,0
lt yung tvc binay haha,1
pati ba naman picos machine binayaran mar roxas,1
RT USERNAME STAFF sen miriam defensor santiago sponsors senate resolution NUMBER EDCA,0
RT USERNAME respect DJP decision mar roxas tanungin lang natin kng san galing yng binayad pamintang USERNAME yoland …,0
LP binay get P NUMBER spent TV ads URL philippine news URL via USERNAME,0
pinaka kwenta debate si binay nakakaloka ... puro nanaman makati pilipinasdebate NUMBER,1
USERNAME USERNAME USERNAME basahin padin panu retweet nanaman yung kay BINAY ADN MAINE vote maine FPP KCA,0
endorsing mar roxas naman kau pinipilit iboto respect DJP decision mar roxas,0
roxas NUMBER roxas robredo switchto mar URL,0
madami naman natulungan si binay kesa kay dut NUMBER rt NUMBER,0
USERNAME gago hahahaha anti binay girl,0
UNTV repaso NUMBER CA dismisses junjun binay ’ petition ombudsman suspension order 2 11 2015 NY A1710,0
motherly naman tong si poe yung masungit mahigpit nanay kelangan pilipinas disiplina pili pinas debates NUMBER,1
yown NUMBER st time nag vote tama eleksyon NUMBER gracepoe NUMBER gracepoeforpresident URL,0
nalito yung pari san pwede paitimin si binay nagtagal tuloy misa cause delay VP hala URL,1
USERNAME duterte roxas poe binay santiago rank,0
nung si binay ginisa UPLB tuwang tuwa kayo nung kandidato niyo bastos estudyante UPLB,1
USERNAME salamat camp fought good fight guys VP binay rin tlga,0
binay lumaki man taung mahirap c VP binay lumaki mahirap,0
RT USERNAME goodness jejomar binay super annoying mo pls stop like really oo laki hirap punyeta,1
laglagbala,2
blogger seems yellow koolaid IV line,2
kanina baka si binay si pamatong basis nada,2
K,0
bets ready wrong bash alma moreno interview —VP binay URL URL,0
REALLY IRRITATED BINAY ANSWER MAKE SENSE,1
say goodbye presidential ambitions mar mar roxas trains even support contrived image URL,1
BETA NEWSROOM NUMBER EPAL MOVES BINAY ROXAS ROBREDO BINISITA BINAGYO videos visit us ... URL,0
NALSS CAMPAIGN SONG BINAY WTH ANONG MALI SAKIN :(,1
tapos nagtataka andaming naloloko marcos binay eh ganun naman lang pinapansin,1
pacquiao moreno binay senatorial line face palm,1
kay binay ... masyadong kita kilay sobrang itim kulay,1
WATCH daniel padilla interviews mar roxas gets mixed reviews URL,0
FUCK NOYNOY FUCK MAR ROXAS WALA MOY PULOS YAWA MO,1
NUMBER ateneo,2
NUMBER mac belo,2
NUMBER sarah geronimo MINAMAHAL,2
NUMBER gimme NUMBER rocks SM manila,2
NUMBER binay,2
NUMBER 22 TIME PHT URL,0
sure binay giving NUMBER behind duterte less NUMBER votes yet counted halalan NUMBER,0
tangina naman yung ad binay nakabwisit,1
binay ’ big promise income tax workers earning P NUMBER K monthly vice president jejomar binay vo ... URL,0
USERNAME USERNAME ganyan tlga basta puro bahid ehh grace poe tone hahaha,1
NUMBER OTWOL disappointment,2
NUMBER roxas robredo,2
NUMBER POWER VOTE MENG,2
NUMBER mar nella ROR omance,2
NUMBER YLON birth month day nine,2
NUMBER 9 TIME PHT,0
masasabi mo performance binay recent presidential debate URL,0
tangina enrile di naman masyadong halatang solid binay supporter mamasapano senate hearing,1
USERNAME errata binay rin pinakamataas distrust disapproval ratings,1
introduction mo mar roxas panay paninira lang mo kandidato pili pinas debates NUMBER team replay,1
VOTE ROXAS halalan NUMBER mar daang matuwid RORO RISING things possible believe,0
nakakairita commercial binay,1
plastic mapapel tangina mo mar roxas URL,1
@ANCALERTS sen binay nothing poe residency issue wag mo gawing tanga wag kang magmalinis bobo,1
si binay yung kaklase mong nag top NUMBER nung kinder college niyayabang lels,1
DUTERTE TILL END DONT CHEAT YELLOWS pilipinas NUMBER PH vote NUMBER PH vote duterte PH vote roxas URL,1
RT USERNAME feel glutha binay pagiging presidente putek paulit ulit puro nog nog naririnig mg …,1
VP binay tikom bibig pahayag sen JV ejercito si sen grace poe susuportahan ama si erap via allan francisco,0
RT TV patrol KILALANIN vice president jejomar binay URL halalan NUMBER URL,0
si binay sya nagchachat sinasabing kuya ate palike naman po di kupal si binay tularan si binay,0
nognog,2
pandak,2
laki hirap,2
di,2
maraming nagawa,2
yan si binay,2
TAE TAE TAE TALAGA nice ad haha,1
USERNAME yun nga eh sakit si miriam hirap hati boto baka manalo tuloy si binay,0
