text,label
GASTOS VP BINAY POLITICAL ADS HALOS P NUMBER M,
inaasahan vice president jejomar binay taong ... URL,0
mar roxas TANG INA TUWID DAAN DAW ... EH SYA NGA DI STRAIGHT,1
salamat sawang suporta taga makati pagbabalik binay in makati only binay in makati san URL,0
USERNAME putangina mo binay TAKBO,1
binay with selective amnesia forgetting about the past six years he spent preparing to be president pili pinas debates NUMBER,0
it doesn t matter whoever won between duterte miriam as president as long as they finally changed the country noynoy failed to do so,0
nognog nognog nag malasakit wtf tangina mo binay nagpapaawa kapa hahahaha nognog,1
only binay oily binay,
binay rin,
binay NUMBER,
only B NUMBER nay FB URL,1
what abi binay said on running for makati mayor halalan NUMBER URL URL,0
srsly how can binay do away with no tax for those earning ph P NUMBER k and below without any compromises nkklk talaga,1
sen grace poe puro puso lugmok bansa natin kahirapan corruption puro puso utak,1
RT USERNAME laki ginastos binay tapos laki talo mayo tameme ending kwento yun https …,1
ENDO kay P noy no extension mar roxas duterte till the end,1
USERNAME pet theory contrasted w P noy for past NUMBER years binay hasn t failed much then again he hasn t done much either,0
RT USERNAME ba si binay yuan nognog pandak laki hirap,0
BREAKING VCM inside novotel cubao owned by mar roxas URL,0
di daw pagsisihan binoto si MDS talo baka dun kayo magsisi si roxas binay or poe mananalo kayo matatalino :D,0
RT USERNAME so anak mar pala itong si DJP won t be surprised if nese iye ne eng lehet will be mar roxas campaign jingle N …,0
kakapal mukha niyo P noy roxas matapos niyong batikusin si poe binay naman yayain niyo anu toh civil war,1
importante kay VP binay,
only binay mag aangat tacloban,0
eh di wow talagang gamit gamit yung PANDAK SUS LANG BINAY WAG KAME URL,1
parang gustong maka tandem mar roxas liberal party alam mahihirapang manalo si roxas,1
si senator nancy binay ba tinutukoy mo hahahaha URL,0
NAMAN SI MAR ROXAS PARANG P i MAKIKIPAG SANIB LANG KAY POE TALUNIN SI DUTERTE duterte till the end,1
alma moreno OK despite being bashed over TV interview binay halalan NUMBER URL URL via ABS CBN N …,0
I will definitely not vote for binay a big NO,0
si mar roxas yung parang cartoon or anime nagpapalit damit,0
political ad on respect not a response to duterte ’ s rape remark poe clarifies URL,0
RT USERNAME mar roxas is in naguilian isabela today to attend a sectoral assembly URL,0
sooo not mar roxas,0
nakakairita tong commercial binay,1
newsreport pagsuporta gobernador ifugao kay VP binay pinasalamatan I via allan francisco,0
haha binay jollibee URL,0
V pcandidate sen trillanes campaign more for presidential candidate sen grace poe than his VP bid also said no to binay URL,0
that binay commercial tho,0
mar offered unity talks w grace poe invitation declined bayan sana roxas NUMBER roxas robredo switchto mar,0
nagrereklamo yung kasabay jeep duterte daw binoto roxas lumabas,0
drama hugot trabaho lang higit pagnanakawan USERNAME roxas robredo NUMBER URL,0
RT USERNAME galing showtime yang cake galing kay binay hahah,
its showtime to miho,0
if mr palengke looses his presidential bid di c binay di c duterte lolong di c poe sisihin kundi ALDUBNATIONS vote maine FPP KCA,0
binay completes senate slate halalan NUMBER URL URL,0
lol binay,1
mar roxas handang humarap panibagong imbestigasyon mamasapano clash URL,1
mar roxas debates daw ... URL,0
sana kasi president duterte and vice president santiago,0
lonely binay,0
BINAY KANG TALAGA nognog pandak laki hirap,1
